QUA,QUA_val,BLU,RED,NIR,SWR,BLU_1,RED_1,NIR_1,SWR_1,BLU_2,RED_2,NIR_2,SWR_2,BLU_3,RED_3,NIR_3,SWR_3,BLU_4,RED_4,NIR_4,SWR_4,Satellite_Date,Location,Altitude
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-04-09,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-04-10,Malic,850
False,251.0000,0.4235,0.4785,0.5570,0.4755,0.4355,0.4340,0.5115,0.4640,0.3495,0.3850,0.4750,0.4245,0.4240,0.4585,0.5690,0.4855,0.4445,0.5245,0.6005,0.5120,2014-04-11,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-04-12,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-04-14,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-04-15,Malic,850
False,187.0000,0.5010,1.1140,0.8630,0.6410,0.4810,0.9625,0.8955,0.6505,0.5060,1.1380,0.8910,0.6365,0.5655,1.1155,0.8605,0.6390,0.8135,1.1055,0.8560,0.6485,2014-04-16,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-04-17,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-04-18,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-04-19,Malic,850
False,59.0000,1.0490,1.1060,0.8195,0.3925,1.0490,1.1085,0.8040,0.3845,1.0490,1.1060,0.8220,0.3975,1.0490,1.1060,0.8285,0.3940,1.0490,1.1060,0.8215,0.3840,2014-04-20,Malic,850
False,123.0000,1.0455,0.8290,0.8860,0.4195,1.0455,0.8500,0.9125,0.4460,1.0455,0.8380,0.8900,0.4250,1.0460,0.8200,0.8735,0.4055,1.0455,0.8305,0.8900,0.4145,2014-04-21,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-04-22,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-04-23,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-04-24,Malic,850
False,59.0000,1.0420,1.1030,0.8845,0.6200,1.0420,1.1030,0.8705,0.6220,1.0420,1.1030,0.8805,0.6120,1.0420,1.1050,0.9290,0.6270,1.0420,1.1025,0.8965,0.6300,2014-04-25,Malic,850
